date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2008-09-29,56.5,61.0,55.0,58.0,494600,1.13,1.22,1.1,1.16,24730000,0.0,1.0
2008-09-30,55.49,58.25,54.16,57.7,499300,1.1098,1.165,1.0832,1.154,24965000,0.0,1.0
2008-10-01,57.51,59.25,54.0,55.25,350900,1.1502,1.185,1.08,1.105,17545000,0.0,1.0
2008-10-02,54.55,58.2,53.25,56.76,321700,1.091,1.164,1.065,1.1352,16085000,0.0,1.0
2008-10-03,50.55,57.5,50.55,57.5,504900,1.011,1.15,1.011,1.15,25245000,0.0,1.0
2008-10-06,48.95,49.95,45.19,49.95,817600,0.979,0.999,0.9038,0.999,40880000,0.0,1.0
2008-10-07,48.0,49.92,46.8301,49.89,437600,0.96,0.9984,0.936602,0.9978,21880000,0.0,1.0
2008-10-08,51.28,53.0,46.5,47.08,629800,1.0256,1.06,0.93,0.9416,31490000,0.0,1.0
2008-10-09,49.4,52.74,48.9,51.31,323200,0.988,1.0548,0.978,1.0262,16160000,0.0,1.0
2008-10-10,48.35,50.8,45.0,46.67,624200,0.967,1.016,0.9,0.9334,31210000,0.0,1.0
2008-10-13,51.0,52.26,49.34,51.32,97400,1.02,1.0452,0.9868,1.0264,4870000,0.0,1.0
2008-10-14,45.5,52.55,43.66,52.29,904500,0.91,1.051,0.8732,1.0458,45225000,0.0,1.0
2008-10-15,40.77,46.0,40.44,44.79,894900,0.8154,0.92,0.8088,0.8958,44745000,0.0,1.0
2008-10-16,44.69,45.12,40.98,43.38,479900,0.8938,0.9024,0.8196,0.8676,23995000,0.0,1.0
2008-10-17,44.25,46.85,42.11,44.49,568000,0.885,0.937,0.8422,0.8898,28400000,0.0,1.0
2008-10-20,45.85,46.36,44.17,44.91,486200,0.917,0.9272,0.8834,0.8982,24310000,0.0,1.0
2008-10-21,43.34,45.6,42.74,45.5,607100,0.8668,0.912,0.8548,0.91,30355000,0.0,1.0
2008-10-22,41.08,43.87,40.0,42.91,708600,0.8216,0.8774,0.8,0.8582,35430000,0.0,1.0
2008-10-23,44.29,47.23,41.94,42.28,1192600,0.8858,0.9446,0.8388,0.8456,59630000,0.0,1.0
2008-10-24,44.77,46.41,40.77,41.62,559300,0.8954,0.9282,0.8154,0.8324,27965000,0.0,1.0
2008-10-27,47.46,49.0,43.29,44.8,429000,0.9492,0.98,0.8658,0.896,21450000,0.0,1.0
2008-10-28,51.5,52.79,48.06,48.52,548000,1.03,1.0558,0.9612,0.9704,27400000,0.0,1.0
2008-10-29,54.68,54.97,51.7,51.7,446500,1.0936,1.0994,1.034,1.034,22325000,0.0,1.0
2008-10-30,50.84,57.45,50.0,56.0,633400,1.0168,1.149,1.0,1.12,31670000,0.0,1.0
2008-10-31,50.75,51.91,47.62,51.03,589000,1.015,1.0382,0.9524,1.0206,29450000,0.0,1.0
